100.   -10.40476 -20.3033  -0.0001533  -0.000032071
101.   -10.23750 -20.1828  -0.0001492  -0.000033084
102.   -10.07394 -20.0628  -0.0001453  -0.000034002
103.   -9.913975 -19.9434  -0.0001414  -0.000034830
104.   -9.757512 -19.8247  -0.0001376  -0.000035574
105.   -9.604465 -19.7066  -0.0001340  -0.000036240
106.   -9.454736 -19.5892  -0.0001305  -0.000036832
107.   -9.308239 -19.4726  -0.0001270  -0.000037356
108.   -9.164895 -19.3566  -0.0001237  -0.000037815
109.   -9.024620 -19.2415  -0.0001204  -0.000038214
110.   -8.887332 -19.1271  -0.0001173  -0.000038557
111.   -8.752956 -19.0134  -0.0001142  -0.000038848
112.   -8.621415 -18.9006  -0.0001113  -0.000039090
113.   -8.492636 -18.7885  -0.0001084  -0.000039286
114.   -8.366549 -18.6773  -0.0001056  -0.000039439
115.   -8.243084 -18.5669  -0.0001029  -0.000039553
116.   -8.122174 -18.4573  -0.0001002  -0.000039630
117.   -8.003754 -18.3486  -0.0000977  -0.000039673
118.   -7.887761 -18.2407  -0.0000952  -0.000039683
119.   -7.774133 -18.1336  -0.0000928  -0.000039664
120.   -7.662810 -18.0274  -0.0000904  -0.000039618
121.   -7.553736 -17.9221  -0.0000881  -0.000039546
122.   -7.446853 -17.8175  -0.0000859  -0.000039450
123.   -7.342106 -17.7139  -0.0000838  -0.000039332
124.   -7.239443 -17.6111  -0.0000817  -0.000039194
125.   -7.138812 -17.5091  -0.0000797  -0.000039037
126.   -7.040162 -17.4080  -0.0000777  -0.000038863
127.   -6.943446 -17.3078  -0.0000758  -0.000038673
128.   -6.848615 -17.2084  -0.0000739  -0.000038468
129.   -6.755624 -17.1099  -0.0000721  -0.000038250
130.   -6.664427 -17.0122  -0.0000704  -0.000038020
131.   -6.574982 -16.9153  -0.0000686  -0.000037778
132.   -6.487246 -16.8193  -0.0000670  -0.000037526
133.   -6.401178 -16.7241  -0.0000654  -0.000037264
134.   -6.316739 -16.6297  -0.0000638  -0.000036994
135.   -6.233888 -16.5362  -0.0000623  -0.000036717
136.   -6.152590 -16.4435  -0.0000608  -0.000036432
137.   -6.072806 -16.3516  -0.0000594  -0.000036141
138.   -5.994502 -16.2605  -0.0000580  -0.000035845
