 ==================================================================
              Calculation using SRIM-2003 
              SRIM version ---> SRIM-2003.26
              Calc. date   ---> December 22, 2004 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in He- C- F

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  1.8530E-03 g/cm3 = 1.0754E+20 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    053.12    020.49   
      C      6    009.38    010.86   
      F      9    037.50    068.65   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   9.288E-02  4.958E-05  111.26 mm     4.56 mm     3.72 mm  
   3.50 MeV   8.775E-02  4.642E-05  126.17 mm     5.08 mm     4.18 mm  
   3.75 MeV   8.321E-02  4.367E-05  141.92 mm     5.61 mm     4.67 mm  
   4.00 MeV   7.917E-02  4.123E-05  158.50 mm     6.14 mm     5.18 mm  
   4.50 MeV   7.226E-02  3.713E-05  194.10 mm     8.06 mm     6.26 mm  
   5.00 MeV   6.656E-02  3.381E-05  232.93 mm     9.88 mm     7.44 mm  
   5.50 MeV   6.178E-02  3.105E-05  274.92 mm    11.65 mm     8.71 mm  
   6.00 MeV   5.769E-02  2.873E-05  320.03 mm    13.43 mm    10.07 mm  
   6.50 MeV   5.416E-02  2.675E-05  368.20 mm    15.21 mm    11.51 mm  
   7.00 MeV   5.108E-02  2.503E-05  419.39 mm    17.00 mm    13.03 mm  
   8.00 MeV   4.594E-02  2.221E-05  530.59 mm    23.45 mm    16.33 mm  
   9.00 MeV   4.182E-02  1.998E-05  653.49 mm    29.50 mm    19.96 mm  
  10.00 MeV   3.844E-02  1.818E-05  787.84 mm    35.43 mm    23.90 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.8529E-02                 eV / Angstrom 
  1.8529E-01                keV / micron   
  1.8529E-01                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.7231E+01                 eV / (1E15 atoms/cm2)
  9.1781E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2003 by J.P. Biersack and J.F. Ziegler
