 ==================================================================
              Calculation using SRIM-2003 
              SRIM version ---> SRIM-2003.26
              Calc. date   ---> December 22, 2004 
 ==================================================================

 Disk File Name = SRIM Outputs\tritium in He- C- F

 Ion = Hydrogen [1] , Mass = 3 amu

 Target Density =  1.8530E-03 g/cm3 = 1.0754E+20 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    053.12    020.49   
      C      6    009.38    010.86   
      F      9    037.50    068.65   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   2.001E-01  1.461E-04   57.65 mm     2.21 mm     1.47 mm  
   3.50 MeV   1.929E-01  1.368E-04   64.51 mm     2.43 mm     1.61 mm  
   3.75 MeV   1.850E-01  1.287E-04   71.64 mm     2.65 mm     1.75 mm  
   4.00 MeV   1.773E-01  1.216E-04   79.08 mm     2.87 mm     1.90 mm  
   4.50 MeV   1.638E-01  1.095E-04   94.90 mm     3.67 mm     2.21 mm  
   5.00 MeV   1.523E-01  9.973E-05  111.96 mm     4.43 mm     2.55 mm  
   5.50 MeV   1.424E-01  9.162E-05  130.26 mm     5.17 mm     2.90 mm  
   6.00 MeV   1.337E-01  8.478E-05  149.80 mm     5.90 mm     3.28 mm  
   6.50 MeV   1.261E-01  7.894E-05  170.56 mm     6.63 mm     3.67 mm  
   7.00 MeV   1.193E-01  7.388E-05  192.53 mm     7.36 mm     4.09 mm  
   8.00 MeV   1.079E-01  6.557E-05  240.04 mm    10.04 mm     4.99 mm  
   9.00 MeV   9.872E-02  5.900E-05  292.28 mm    12.55 mm     5.97 mm  
  10.00 MeV   9.109E-02  5.368E-05  349.13 mm    14.99 mm     7.03 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.8529E-02                 eV / Angstrom 
  1.8529E-01                keV / micron   
  1.8529E-01                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.7231E+01                 eV / (1E15 atoms/cm2)
  3.5972E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2003 by J.P. Biersack and J.F. Ziegler
