 ==================================================================
              Calculation using SRIM-2003 
              SRIM version ---> SRIM-2003.26
              Calc. date   ---> October 24, 2005 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in He- C- F

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.9000E-03 g/cm3 = 1.1026E+20 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    053.12    020.49   
      C      6    009.38    010.86   
      F      9    037.50    068.65   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   1.018E+00  7.049E-04   13.29 mm   471.35 um   402.16 um  
   3.50 MeV   9.716E-01  6.608E-04   14.61 mm   510.39 um   421.12 um  
   3.75 MeV   9.292E-01  6.222E-04   16.00 mm   550.01 um   441.05 um  
   4.00 MeV   8.905E-01  5.881E-04   17.44 mm   590.26 um   461.96 um  
   4.50 MeV   8.221E-01  5.304E-04   20.51 mm   739.42 um   506.79 um  
   5.00 MeV   7.639E-01  4.836E-04   23.83 mm   882.21 um   555.64 um  
   5.50 MeV   7.138E-01  4.448E-04   27.39 mm     1.02 mm   608.51 um  
   6.00 MeV   6.703E-01  4.120E-04   31.19 mm     1.16 mm   665.34 um  
   6.50 MeV   6.322E-01  3.839E-04   35.23 mm     1.30 mm   726.07 um  
   7.00 MeV   5.985E-01  3.596E-04   39.51 mm     1.44 mm   790.64 um  
   8.00 MeV   5.416E-01  3.196E-04   48.75 mm     1.96 mm   931.02 um  
   9.00 MeV   5.000E-01  2.879E-04   58.85 mm     2.44 mm     1.09 mm  
  10.00 MeV   4.604E-01  2.622E-04   69.81 mm     2.91 mm     1.25 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.8999E-02                 eV / Angstrom 
  1.8999E-01                keV / micron   
  1.8999E-01                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.7231E+01                 eV / (1E15 atoms/cm2)
  1.5537E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2003 by J.P. Biersack and J.F. Ziegler
