95.0000    59000.0    15.2315    24120.0    2.14128
100.0000    66060.0    14.6214    26230.0   0.152517
110.000    81270.0    13.9200    30490.0   0.871809
120.000    97840.0    11.2986    34810.0   -3.97540E-02
130.000    115600.    12.2855    39140.0  -0.112793
140.000    134500.    7.95923    43460.0  -0.109073
150.000    154300.    9.87754    47760.0  -0.650914
160.000    175000.    6.53062    52010.0  -0.287272
170.000    196300.  0.    56230.0  0.
#.END-OF-FILE
