From the ESTAR web site (NIST). CSDA is "Continuously Slowing Down
Approximation". "D." is Density. For lower energyies see
ElectronsInGasLow.txt (but all of the information is not available then).

Electron in CounterGas
Density: 	0.0019 (g/cm3)
Mean Excitation Energy: 	83.5 (eV)
Atomic Constituents: 	
He 	0.2049
CF4 	0.7951

ESTAR: Stopping Powers and Range Tables for Electrons

Counter Gas (Density=0.0019 g/cm3) (I=87.7 eV)

Kinetic    Collision Radiative Total     CSDA      Radiation D. Effect 
Energy     Stp. Pow. Stp. Pow. Stp. Pow. Range     Yield     Parameter 
MeV        MeV cm2/g MeV cm2/g MeV cm2/g g/cm2                         

 1.000E+01 1.907E+00 1.696E-01 2.077E+00 5.394E+00 4.041E-02 0.000E+00 
 1.250E+01 1.955E+00 2.206E-01 2.175E+00 6.570E+00 5.065E-02 0.000E+00 
 1.500E+01 1.994E+00 2.730E-01 2.267E+00 7.695E+00 6.070E-02 0.000E+00 
 1.750E+01 2.028E+00 3.264E-01 2.354E+00 8.777E+00 7.054E-02 0.000E+00 
 2.000E+01 2.057E+00 3.806E-01 2.437E+00 9.821E+00 8.016E-02 0.000E+00 
 2.500E+01 2.106E+00 4.909E-01 2.597E+00 1.181E+01 9.869E-02 0.000E+00 
 3.000E+01 2.145E+00 6.031E-01 2.748E+00 1.368E+01 1.163E-01 9.064E-03 
 3.500E+01 2.175E+00 7.167E-01 2.892E+00 1.545E+01 1.331E-01 6.346E-02 
 4.000E+01 2.199E+00 8.315E-01 3.030E+00 1.714E+01 1.491E-01 1.447E-01 
 4.500E+01 2.218E+00 9.471E-01 3.165E+00 1.875E+01 1.644E-01 2.382E-01 
 5.000E+01 2.234E+00 1.064E+00 3.297E+00 2.030E+01 1.791E-01 3.365E-01 
 5.500E+01 2.247E+00 1.181E+00 3.428E+00 2.179E+01 1.931E-01 4.357E-01 
 6.000E+01 2.259E+00 1.298E+00 3.558E+00 2.322E+01 2.066E-01 5.336E-01 
 7.000E+01 2.280E+00 1.535E+00 3.815E+00 2.594E+01 2.320E-01 7.215E-01 
 8.000E+01 2.296E+00 1.773E+00 4.070E+00 2.847E+01 2.554E-01 8.967E-01 
 9.000E+01 2.310E+00 2.013E+00 4.323E+00 3.086E+01 2.771E-01 1.059E+00 
 1.000E+02 2.323E+00 2.253E+00 4.576E+00 3.310E+01 2.973E-01 1.209E+00 
 1.250E+02 2.348E+00 2.859E+00 5.206E+00 3.822E+01 3.422E-01 1.539E+00 
 1.500E+02 2.367E+00 3.468E+00 5.835E+00 4.276E+01 3.806E-01 1.819E+00 
 1.750E+02 2.384E+00 4.080E+00 6.464E+00 4.682E+01 4.139E-01 2.061E+00 
