jan03 620 xnzscan  5 28602 29343 29348 29378 29390     0     0     0     0     0
oct02 337 xzscan   5 27278 27297 27304 27324 27338     0	 0     0	 0     0
oct02 337 xnzscan  5 27278 27366 27391 27397 27413     0	 0     0	 0     0
oct02 365 xzscan   5 27286 27295 27306 27322 27340     0	 0     0	 0     0
oct02 365 xnzscan  5 27286 27368 27389 27395 27411     0	 0     0	 0     0
oct02 386 xzscan   5 27284 27293 27308 27320 27331     0	 0     0	 0     0
oct02 386 xnzscan  5 27284 27370 27387 27399 27409     0	 0     0	 0     0
oct02 420 xzscan   5 27282 27291 27310 27318 27333     0	 0     0	 0     0
oct02 420 xnzscan  5 27282 27372 27385 27401 27407     0	 0     0	 0     0
oct02 500 xzscan   5 27280 27288 27313 27315 27336     0	 0     0	 0     0
oct02 500 xnzscan  5 27280 27288 27313 27315 27336     0	 0     0	 0     0
oct02 620 xzscan   5 27276 27300 27302 27327 27329     0	 0     0	 0     0
oct02 620 xnzscan  5 27276 27378 27381 27393 27475     0	 0     0	 0     0
may02 337 xzscan   5 25038 25050 25069 25071 25083     0     0	   0     0     0
may02 337 xnzscan  5 24985 24987 25012 25028 25083     0     0	   0	 0     0
may02 365 xzscan   5 25073 25065 25042 25040 25085     0     0	   0	 0     0
may02 365 xnzscan  5 24989 24983 25014 25022 25085     0     0	   0	 0     0
may02 386 xzscan   5 25075 25067 25044 25036 25087     0     0	   0	 0     0
may02 386 xnzscan  5 24991 24980 25008 25024 25087     0     0	   0	 0     0
may02 420 xzscan   5 25077 25061 25046 25032 25089     0     0	   0	 0     0
may02 420 xnzscan  5 24993 24978 25006 25026 25089     0     0	   0	 0     0
may02 500 xzscan   5 25079 25059 25057 25048 25030     0     0	   0	 0     0
may02 500 xnzscan  5 24995 24976 25001 25004 25018     0     0	   0	 0     0
may02 620 xzscan   5 25081 25063 25054 25034 25093     0     0	   0	 0     0
may02 620 xnzscan  5 24997 24974 25016 25020 25093     0     0	   0	 0     0
sep01 337 xzscan   8 21226 21363 21361 21283 21301 21320 21303 21100     0     0
sep01 337 xnzscan  5 21322 21337 21347 21349 21539     0     0     0     0     0
sep01 365 xzscan   6 21224 21365 21259 21288 21299 21308     0     0     0     0
sep01 365 xnzscan  5 21098 21324 21335 21345 21351     0     0     0     0     0
sep01 386 xzscan   6 21222 21367 21257 21291 21297 21310     0     0     0     0
sep01 386 xnzscan  4 21327 21333 21343 21353     0     0     0     0     0     0
sep01 420 xzscan   6 21437 21429 21422 21467 21478 21480     0     0     0     0
sep01 420 xnzscan  5 21451 21439 21457 21465 21532     0     0     0     0     0
sep01 500 xzscan   7 21220 21369 21359 21293 21295 21312 21314     0     0     0
sep01 500 xnzscan  8 21449 21445 21459 21461 21329 21331 21341 21355     0     0
sep01 620 xzscan   6 21435 21279 21427 21425 21469 21482     0     0     0     0
sep01 620 xnzscan  5 21453 21443 21455 21463 21534     0     0     0     0     0
sep00 337 xzscan   9 12654 12662 12726 12664 12674 12676 12728 12703 12710     0
sep00 337 xnzscan  7 12740 12751 12753 13242 13257 13277 13283     0     0     0
sep00 365 xzscan   8 12838 12840 12943 12854 12856 12870 12945 12872     0     0
sep00 365 xnzscan  6 12961 12975 13240 13253 13259 13275     0     0     0     0
sep00 386 xzscan   7 12652 12660 12724 12666 12672 12678 12701     0     0     0
sep00 386 xnzscan  6 12742 12749 12755 13261 13273 13285     0     0     0     0
sep00 420 xzscan   9 12834 12844 12939 12850 12860 12866 12949 12876 12882     0
sep00 420 xnzscan  4 12965 12971 13236 13255     0     0     0     0     0     0
sep00 500 xzscan   9 12656 12658 12722 12668 12670 12697 12732 12699 12714     0
sep00 500 xnzscan  8 12744 12746 12759 12967 12969 13234 13265 13269     0     0
sep00 620 xzscan   9 12836 12842 12941 12852 12858 12868 12947 12874 12884     0
sep00 620 xnzscan  3 12963 12973 13281     0     0     0     0     0     0     0
